aX,aY,aZ,gX,gY,gZ
-1.014,-0.929,1.177,10.864,-8.789,36.011
-1.043,-0.978,1.334,15.991,5.127,46.082
-1.025,-0.932,1.427,22.095,30.334,55.969
-0.989,-0.915,1.454,31.616,57.556,62.500
-0.949,-0.889,1.465,37.720,78.674,65.735
-0.909,-0.929,1.600,47.607,88.867,67.322
-0.898,-1.087,1.798,62.500,94.299,68.359
-0.854,-1.189,2.056,76.965,98.633,73.547
-0.832,-1.432,2.267,93.933,105.896,82.214
-0.833,-1.586,2.435,102.722,119.629,95.337
-0.768,-1.474,2.539,97.534,143.433,116.943
-0.572,-1.285,2.443,76.172,183.533,142.761
-0.231,-1.084,2.083,49.072,236.084,163.330
0.001,-0.926,2.633,36.377,273.193,176.392
0.281,-0.622,2.830,69.763,323.181,189.880
0.342,-0.182,2.248,28.503,378.479,202.759
0.480,-0.099,2.213,6.104,401.489,202.087
0.326,-0.031,1.904,-11.841,421.570,197.266
-0.168,0.259,1.346,-46.082,454.773,192.383
-0.400,0.949,1.014,-63.965,483.582,183.411
-0.489,1.296,0.497,-72.998,508.179,163.086
-0.687,1.053,-0.335,-61.890,522.888,129.150
-0.669,0.905,-1.168,-32.776,512.146,95.093
-1.229,1.010,-1.426,16.174,459.534,69.824
-1.362,1.114,-1.485,76.782,390.442,32.104
-1.252,0.389,-1.512,97.534,326.416,-8.240
-1.476,-0.555,-1.379,48.523,251.831,-26.978
-1.705,-0.959,-1.556,43.457,182.190,-45.959
-0.974,-1.283,-1.046,39.917,124.207,-41.565
-1.428,-1.730,-0.653,19.470,69.397,-9.399
-1.726,-1.801,0.076,36.011,3.723,17.456
-2.013,-1.920,0.343,37.231,-42.419,43.945
-1.872,-2.034,0.321,27.954,-71.716,76.233
-1.405,-1.801,1.115,15.564,-84.595,113.159
-1.181,-1.424,0.700,-28.320,-59.326,144.531
-0.874,-0.880,0.645,-72.388,-36.560,156.250
-0.566,-0.626,0.661,-76.904,-24.902,151.672
-0.231,-0.350,0.519,-87.769,-14.160,142.212
0.145,-0.071,0.462,-79.346,-7.202,128.113
0.354,0.081,0.422,-57.434,-7.446,105.713
0.499,0.111,0.451,-30.579,-13.672,79.956
0.467,0.064,0.543,-0.793,-23.376,55.359
0.537,-0.110,0.688,24.048,-30.151,34.363
0.577,-0.291,0.812,41.321,-32.593,20.264
0.572,-0.416,0.847,41.321,-30.090,12.878
0.543,-0.478,0.865,33.447,-24.414,10.071
0.497,-0.585,0.906,29.175,-18.677,9.705
0.458,-0.673,0.990,26.245,-12.512,12.512
0.434,-0.711,0.994,19.775,-5.371,16.724
0.433,-0.721,0.953,9.766,0.366,19.897
0.452,-0.703,0.927,1.282,2.747,21.667
0.455,-0.697,0.910,-4.089,2.502,22.339
0.429,-0.657,0.864,-5.798,0.732,21.973
0.398,-0.616,0.799,-4.639,-2.563,20.752
0.370,-0.609,0.775,1.709,-7.141,18.799
0.344,-0.603,0.760,7.812,-10.803,17.334
0.330,-0.596,0.809,13.733,-15.015,15.564
0.348,-0.626,0.925,20.996,-19.958,13.611
0.387,-0.672,1.001,22.766,-23.071,12.390
0.404,-0.669,0.990,17.151,-25.208,10.681
0.409,-0.664,0.994,8.667,-27.222,8.179
0.425,-0.689,1.005,0.671,-28.076,7.263
0.455,-0.650,1.001,-7.019,-26.855,8.667
0.489,-0.625,0.995,-13.733,-24.658,11.292
0.492,-0.619,1.045,-18.616,-21.667,13.611
0.484,-0.545,0.916,-21.973,-19.409,15.442
0.501,-0.528,1.011,-14.343,-19.348,14.282
0.501,-0.490,0.966,-21.179,-18.494,13.184
0.510,-0.468,1.015,-24.109,-18.250,12.146
0.485,-0.482,1.037,-18.127,-18.188,9.338
0.485,-0.471,1.051,-14.221,-16.968,5.859
0.472,-0.483,1.044,-9.033,-16.113,1.953
0.462,-0.485,1.033,-2.808,-15.198,-2.319
0.454,-0.497,1.028,2.808,-13.672,-6.348
0.449,-0.511,1.012,7.141,-11.047,-9.583
0.445,-0.531,0.984,10.315,-7.874,-11.230
0.437,-0.537,0.949,13.062,-4.211,-11.536
0.422,-0.534,0.902,12.146,-1.221,-11.169
0.404,-0.563,0.876,7.935,1.587,-10.498
0.398,-0.590,0.853,3.296,5.188,-9.583
0.396,-0.574,0.831,-1.709,8.362,-9.033
0.387,-0.552,0.804,-6.592,10.010,-9.155
0.390,-0.536,0.782,-8.911,9.460,-10.010
0.401,-0.524,0.745,-8.850,7.385,-12.024
0.412,-0.530,0.714,-6.836,3.662,-15.015
0.412,-0.552,0.707,-2.075,-0.916,-18.616
0.411,-0.550,0.712,3.967,-4.150,-21.240
0.411,-0.551,0.715,7.324,-5.798,-22.156
0.398,-0.560,0.710,7.568,-5.737,-21.179
0.385,-0.569,0.710,7.629,-5.127,-19.775
0.374,-0.572,0.711,7.202,-3.845,-17.761
0.366,-0.590,0.728,5.127,-1.953,-15.320
0.358,-0.590,0.715,1.160,0.061,-12.939
0.364,-0.564,0.718,-2.747,1.587,-11.292
0.366,-0.564,0.754,-1.770,3.113,-11.536
0.370,-0.554,0.749,0.427,5.188,-12.207
0.359,-0.560,0.691,-0.183,5.432,-13.184
0.377,-0.532,0.653,-0.366,2.747,-14.404
0.382,-0.576,0.636,5.310,-0.183,-17.090
0.369,-0.596,0.635,10.010,-1.343,-18.982
0.336,-0.611,0.612,10.925,-1.953,-19.409
0.338,-0.579,0.550,6.287,-3.113,-18.066
0.322,-0.624,0.648,3.418,-5.188,-17.212
0.342,-0.663,0.751,7.812,-2.258,-15.808
0.359,-0.585,0.687,-1.404,2.686,-11.230
0.353,-0.548,0.641,-6.592,-0.183,-9.888
0.357,-0.553,0.721,1.038,-6.226,-11.963
0.366,-0.523,0.666,0.183,-9.399,-13.428
0.348,-0.569,0.661,-3.418,-14.282,-14.648
0.323,-0.566,0.684,-2.625,-16.785,-14.343
0.328,-0.545,0.686,-6.348,-15.015,-13.062
0.319,-0.539,0.643,-6.470,-12.329,-12.756
0.305,-0.532,0.645,-2.808,-10.071,-13.306
0.305,-0.496,0.650,0.366,-8.850,-14.160
0.306,-0.491,0.641,2.136,-8.728,-15.320
0.308,-0.509,0.631,2.991,-9.460,-16.235
0.308,-0.525,0.636,4.150,-10.803,-16.724
0.302,-0.538,0.621,4.150,-12.207,-17.395
0.299,-0.541,0.621,3.357,-13.733,-18.433
,,,,,
-0.942,-0.728,1.044,13.000,10.498,30.029
-0.994,-0.885,1.304,21.973,17.090,37.048
-0.998,-1.077,1.666,43.274,33.447,45.776
-1.062,-1.148,1.660,43.762,66.223,56.885
-1.159,-1.301,1.558,44.434,93.201,65.552
-1.206,-1.380,1.535,59.143,106.018,76.538
-1.209,-1.438,1.674,73.853,111.572,89.050
-1.198,-1.646,1.897,89.478,113.892,99.121
-1.186,-1.789,2.086,102.173,116.333,108.887
-1.253,-2.156,2.167,108.154,120.911,122.498
-1.277,-2.292,2.208,96.680,129.944,148.987
-1.231,-2.008,2.328,76.416,138.672,183.533
-1.141,-1.762,2.275,70.618,153.137,210.876
-0.947,-1.553,1.983,54.626,181.580,235.474
-0.579,-1.122,1.518,29.968,219.177,257.690
0.016,-0.436,1.301,-0.061,251.953,269.165
0.663,-0.070,0.909,-11.169,276.978,261.719
1.236,0.003,0.323,-29.419,288.574,251.526
1.653,-0.112,0.199,-73.364,279.724,249.329
1.295,-0.250,0.327,-87.769,247.742,259.033
0.674,-0.347,1.210,-87.830,223.877,278.381
0.438,0.130,1.194,-125.305,256.836,301.697
0.242,0.350,0.177,-214.294,327.454,313.049
0.328,1.487,-0.681,-266.174,378.845,311.462
0.857,2.107,-1.198,-223.145,406.982,249.756
1.172,2.647,-2.140,-112.610,419.922,173.279
0.875,2.467,-2.428,-4.456,363.159,101.318
0.558,1.352,-2.655,-33.142,253.784,42.114
0.078,0.347,-1.928,16.785,107.361,-3.601
-0.067,0.696,0.039,-35.583,-11.353,-9.705
-0.549,-0.066,0.926,-75.989,-45.654,-45.715
-1.050,-1.199,-0.006,-126.221,0.793,-87.952
-1.769,-1.091,-0.188,-80.017,9.216,-87.769
-2.610,-1.393,0.721,-66.895,-24.536,-62.622
-3.066,-1.888,1.490,-33.081,-49.805,-29.541
-3.095,-2.465,2.028,-6.958,-55.847,11.658
-2.799,-2.495,2.160,-1.587,-43.884,52.368
-2.035,-2.098,2.008,-34.424,-28.687,83.008
-1.734,-1.671,1.889,-63.904,-5.432,94.666
-1.342,-1.113,1.264,-99.731,29.724,94.360
-0.752,-0.267,0.367,-100.159,48.096,91.553
-0.059,0.345,-0.127,-72.754,35.461,79.651
0.584,0.532,0.032,-41.992,8.362,55.542
0.786,0.067,0.602,14.832,-10.620,24.048
0.738,-0.221,0.744,53.284,-0.061,10.193
0.609,0.038,0.104,43.518,18.311,11.230
0.573,-0.089,0.464,50.903,0.610,3.540
0.648,-0.245,0.792,42.114,-17.090,-0.366
0.624,-0.371,0.711,33.691,-20.386,-2.625
0.541,-0.432,0.939,19.653,-27.649,-0.916
0.445,-0.510,1.016,11.353,-29.236,1.343
0.407,-0.568,1.054,1.038,-26.062,3.235
0.355,-0.614,1.179,-1.709,-22.888,3.723
0.329,-0.587,1.159,-2.258,-16.541,2.197
0.322,-0.539,1.143,1.099,-10.315,0.916
0.331,-0.543,1.085,5.676,-5.371,-0.366
0.338,-0.521,1.009,8.423,-2.563,-1.099
0.335,-0.531,0.950,8.850,-2.441,-2.319
0.317,-0.528,0.924,11.719,-4.272,-3.235
0.313,-0.519,0.918,14.771,-6.287,-3.845
0.295,-0.512,0.951,19.653,-9.094,-4.089
0.271,-0.523,0.979,27.588,-11.169,-3.296
0.251,-0.525,0.962,31.616,-9.705,-1.221
0.248,-0.584,0.982,35.828,-6.470,1.465
0.251,-0.622,1.035,39.429,-0.977,4.822
0.261,-0.616,0.956,35.339,5.188,7.751
0.322,-0.588,1.006,30.762,7.629,9.644
0.386,-0.554,1.025,27.466,6.775,10.376
0.437,-0.530,1.015,18.982,4.272,10.376
0.470,-0.515,1.045,11.780,0.366,9.521
0.495,-0.514,1.068,4.578,-2.563,7.446
0.496,-0.507,1.061,-2.563,-4.639,5.493
0.494,-0.463,1.020,-13.000,-3.967,4.211
0.502,-0.432,0.999,-22.583,-1.953,3.479
0.515,-0.414,1.009,-25.696,0.793,3.418
0.520,-0.384,1.022,-23.987,5.066,4.517
0.517,-0.356,1.018,-19.409,9.827,5.371
0.524,-0.341,0.994,-12.268,12.939,5.249
0.510,-0.345,0.967,-3.479,14.771,4.028
0.496,-0.355,0.934,3.418,14.954,2.197
0.477,-0.354,0.908,7.446,14.282,-0.427
