aX,aY,aZ,gX,gY,gZ
0.281,-0.770,1.553,62.561,111.145,-15.869
0.383,-0.699,1.544,74.768,113.220,-14.038
0.394,-0.675,1.415,80.750,113.831,-13.000
0.455,-0.846,1.346,94.666,110.474,-13.733
0.483,-0.813,1.317,116.516,99.854,-13.184
0.366,-0.927,1.262,124.573,95.886,-10.315
0.353,-1.095,1.176,119.751,88.684,-3.479
0.347,-1.411,1.225,115.601,82.764,5.920
0.462,-1.410,1.400,104.736,87.463,22.644
0.437,-1.467,1.301,75.989,98.938,43.152
0.401,-1.378,1.140,46.692,103.149,58.411
0.327,-1.399,1.144,31.433,102.417,69.702
0.321,-1.348,1.018,14.954,105.957,81.665
0.243,-1.355,0.941,14.587,104.126,93.933
0.317,-1.473,0.987,40.283,101.929,99.304
0.449,-1.620,0.644,71.045,108.032,103.088
0.325,-1.380,0.529,23.560,101.440,117.920
0.220,-1.609,0.657,19.287,92.041,119.751
0.460,-1.507,0.450,105.530,88.440,106.445
0.539,-1.010,0.702,132.874,62.256,112.976
0.380,-0.687,0.871,69.580,54.199,136.658
0.263,-1.309,0.752,17.517,65.247,141.296
0.250,-1.468,0.499,39.612,91.736,142.212
0.321,-1.580,0.328,71.960,95.154,138.550
0.306,-1.323,0.087,33.447,91.614,153.076
0.302,-1.251,-0.005,16.296,84.717,160.522
0.379,-0.786,0.173,-55.786,90.759,175.110
0.443,-0.422,-0.075,-28.198,88.684,165.710
0.605,-1.121,0.217,122.192,36.255,114.929
0.502,-1.310,0.293,73.547,21.423,130.005
0.366,-1.044,0.522,94.177,20.203,147.400
0.483,-0.924,0.323,96.741,25.452,151.672
0.615,-1.045,0.154,101.135,30.640,144.592
0.666,-1.136,-0.065,114.441,31.433,142.395
0.472,-1.132,-0.078,97.595,19.653,153.809
0.257,-1.112,-0.065,103.149,2.991,164.246
0.225,-0.993,-0.019,93.933,-5.737,169.678
0.342,-0.810,0.001,86.121,-8.179,164.490
0.606,-0.840,-0.054,73.730,-6.165,149.475
0.510,-0.924,-0.098,71.167,-7.812,144.958
0.450,-0.824,-0.105,53.589,-9.216,152.283
0.370,-0.634,-0.038,57.800,-15.381,159.363
0.354,-0.610,-0.046,72.021,-19.104,156.860
0.355,-0.727,-0.059,90.393,-19.470,146.973
0.380,-0.794,-0.144,100.464,-21.729,140.686
0.441,-0.672,-0.117,79.285,-25.879,141.418
0.467,-0.554,-0.133,67.139,-30.457,138.428
0.495,-0.621,-0.084,73.425,-38.025,133.911
0.348,-0.742,-0.136,80.811,-51.941,132.996
0.271,-0.664,-0.135,58.533,-52.673,139.771
0.267,-0.454,-0.207,25.452,-46.570,142.883
0.494,-0.372,-0.185,31.616,-50.537,137.329
0.347,-0.343,-0.210,42.175,-62.988,128.662
0.394,-0.273,-0.093,41.443,-74.585,123.291
0.355,-0.254,-0.097,58.411,-85.144,121.338
0.384,-0.077,0.034,35.706,-95.459,124.146
0.412,0.095,0.146,26.733,-98.694,118.103
0.425,0.175,0.230,39.978,-99.854,105.530
0.413,0.065,0.292,66.406,-95.642,92.224
0.357,-0.126,0.288,86.182,-88.867,81.055
0.319,-0.214,0.264,80.994,-77.148,77.332
0.271,-0.185,0.226,67.322,-64.880,79.834
0.266,-0.144,0.112,55.237,-56.580,82.092
0.256,-0.144,-0.006,55.420,-51.758,81.787
0.230,-0.106,-0.143,54.993,-52.795,82.458
0.199,-0.084,-0.211,49.683,-59.387,82.336
0.186,-0.191,-0.276,57.251,-70.068,77.759
0.177,-0.280,-0.271,60.608,-84.045,74.890
0.187,-0.230,-0.231,50.415,-96.191,75.867
0.162,-0.243,-0.199,41.870,-104.065,75.317
0.083,-0.335,-0.213,41.199,-107.971,73.853
0.078,-0.302,-0.228,29.907,-110.901,76.843
0.090,-0.150,-0.206,14.038,-115.479,81.726
0.098,-0.041,-0.173,10.864,-122.925,81.543
0.080,-0.026,-0.153,15.076,-130.615,76.355
0.054,0.003,-0.140,18.188,-138.184,70.923
0.010,0.052,-0.120,16.785,-145.447,65.674
-0.020,0.006,-0.111,19.592,-152.649,59.509
0.019,0.018,-0.089,21.606,-162.109,55.481
-0.009,0.127,-0.041,13.550,-171.692,55.420
-0.072,0.073,0.019,16.418,-178.162,52.979
-0.045,0.032,0.073,23.254,-183.472,50.781
0.016,0.068,0.107,15.869,-185.730,52.063
0.031,0.094,0.142,13.306,-187.561,52.002
0.014,0.135,0.201,8.728,-193.665,50.476
0.009,0.210,0.327,3.113,-203.552,48.157
0.013,0.243,0.507,-0.732,-215.393,43.823
0.004,0.189,0.748,-1.343,-225.281,40.161
0.026,0.219,0.977,2.258,-225.037,40.222
0.129,0.319,1.157,1.648,-212.830,42.786
0.095,0.276,1.333,13.672,-202.271,41.199
-0.227,0.201,1.615,13.428,-208.313,38.330
-0.219,0.222,2.061,-26.794,-229.980,44.128
-0.491,0.782,2.786,-88.806,-258.362,57.312
-0.672,1.145,3.865,-113.342,-273.804,49.744
-0.514,1.066,4.000,-48.096,-238.647,25.085
-0.182,0.696,4.000,-28.076,-108.948,2.808
0.086,0.587,3.207,-28.015,75.867,-0.732
0.367,0.437,1.759,-3.052,209.717,0.793
0.758,0.005,0.150,80.505,254.395,0.793
0.902,-0.153,-0.681,54.077,234.375,11.597
0.933,0.187,-1.298,19.470,147.034,15.381
0.698,0.162,-0.828,4.944,7.446,-7.629
0.412,-0.022,0.356,-27.527,-130.981,-31.067
0.247,0.171,1.917,-87.708,-215.820,-32.471
0.175,0.418,3.013,-104.980,-213.501,-24.719
0.220,0.608,3.401,-86.731,-123.291,-22.034
0.252,0.502,2.756,-33.691,9.399,-26.733
0.280,0.271,1.691,14.282,119.324,-28.137
0.373,0.251,0.702,31.311,164.734,-16.907
0.425,0.209,0.166,33.691,143.677,-7.263
0.465,0.025,0.028,49.072,84.839,-5.371
0.469,-0.183,0.243,56.946,20.569,-1.892
0.469,-0.105,0.724,33.264,-21.179,4.517
0.467,-0.104,1.090,27.588,-31.921,5.981
0.453,0.006,1.197,12.390,-13.916,5.493
0.409,0.072,1.052,7.202,14.221,3.967
0.349,0.083,0.836,3.906,28.870,2.686
0.313,0.151,0.811,-2.441,23.315,1.770
,,,,,
-0.047,-1.363,1.202,93.445,88.623,16.296
-0.044,-1.384,1.094,80.505,100.464,24.109
-0.043,-1.305,1.055,69.519,108.154,33.142
-0.027,-1.444,0.961,67.566,110.046,40.894
0.017,-1.422,0.936,67.200,109.863,51.697
0.043,-1.444,1.028,69.092,106.689,60.974
0.052,-1.454,1.064,67.139,108.337,69.580
