aX,aY,aZ,gX,gY,gZ
0.754,1.046,1.796,-104.614,-148.621,179.749
0.765,1.351,1.930,-141.968,-100.769,169.434
0.825,1.894,1.963,-172.424,-51.575,157.410
0.904,2.265,2.134,-184.143,-11.414,134.033
1.046,2.432,2.165,-172.363,27.893,93.079
1.107,2.555,2.148,-148.743,70.190,41.992
1.115,2.514,1.843,-136.536,106.934,-10.010
0.974,2.199,1.661,-121.277,123.718,-63.538
0.833,1.724,1.584,-86.426,132.446,-115.356
0.735,1.359,1.522,-68.237,143.982,-155.029
0.629,1.009,1.278,-60.181,156.494,-188.477
0.486,0.560,1.052,-47.119,166.870,-216.919
0.256,0.144,0.906,-38.269,178.345,-232.544
0.063,-0.310,0.723,-45.349,195.374,-237.305
-0.063,-0.975,0.279,-56.458,220.093,-234.863
-0.061,-1.222,-0.115,-76.355,241.455,-217.834
-0.019,-1.121,-0.343,-84.534,255.676,-193.237
0.148,-1.872,-0.744,-76.233,273.193,-174.622
0.419,-2.445,-1.093,-89.172,278.564,-129.395
-0.069,-2.176,-1.942,-95.703,273.621,-76.355
-0.120,-1.861,-2.340,-80.261,238.098,-36.438
0.120,-2.203,-2.500,-36.804,162.048,-29.236
0.531,-2.632,-2.484,24.841,87.708,-16.479
0.421,-2.464,-2.213,42.358,17.029,23.804
0.223,-2.154,-2.066,50.110,-41.199,66.040
0.137,-1.838,-2.072,62.378,-85.938,94.360
0.077,-1.560,-1.942,74.829,-133.484,118.164
-0.027,-1.207,-1.639,99.609,-182.312,133.057
-0.095,-0.895,-1.271,125.549,-221.436,137.817
-0.126,-0.691,-0.911,154.785,-251.160,134.338
-0.163,-0.544,-0.516,182.007,-279.053,127.625
-0.125,-0.357,-0.067,206.970,-303.223,120.850
0.109,-0.098,0.527,227.356,-327.942,117.188
0.289,0.073,1.370,232.117,-358.826,119.690
0.335,0.269,2.333,194.885,-377.747,130.981
0.661,0.274,3.221,124.634,-361.084,145.691
0.645,0.691,3.564,-2.747,-303.955,170.288
0.651,1.419,3.451,-129.517,-208.313,196.777
0.653,2.157,3.522,-211.670,-106.323,198.975
0.594,3.027,2.976,-271.423,-2.075,175.659
0.958,3.657,2.687,-258.362,83.374,123.474
1.136,3.865,2.470,-194.702,132.874,49.683
1.159,3.455,2.075,-132.202,156.982,-27.954
1.105,2.771,1.633,-63.416,167.603,-104.370
0.894,2.090,1.573,11.536,163.147,-168.884
0.718,1.350,1.313,41.687,165.649,-221.619
0.464,0.741,1.120,49.377,173.950,-261.902
0.119,0.274,0.881,54.810,180.359,-282.104
0.022,-0.251,0.653,35.095,193.604,-287.476
-0.137,-0.700,0.363,-0.366,213.196,-281.311
-0.207,-1.208,0.102,-44.128,234.436,-265.930
-0.118,-1.449,-0.018,-84.045,253.662,-239.746
-0.068,-1.791,-0.389,-116.394,271.179,-200.073
0.141,-2.154,-0.911,-164.429,287.354,-150.879
-0.172,-2.193,-1.648,-175.781,290.161,-94.788
-0.147,-2.151,-2.113,-169.678,261.902,-48.035
0.118,-2.146,-2.362,-123.535,206.848,-33.264
0.271,-2.188,-2.553,-50.964,155.212,-22.461
0.325,-2.316,-2.190,15.686,103.638,-6.348
0.277,-2.265,-2.312,54.749,54.626,16.663
0.189,-2.182,-2.459,83.191,1.282,41.321
0.181,-2.036,-2.183,112.366,-63.660,68.176
0.216,-1.744,-1.770,132.629,-122.314,94.055
0.072,-1.342,-1.585,148.926,-166.870,111.755
-0.036,-1.217,-1.339,171.753,-205.994,117.188
-0.061,-0.994,-0.882,194.763,-249.146,121.277
-0.077,-0.766,-0.349,206.787,-286.133,128.601
0.056,-0.608,0.122,209.351,-307.495,136.658
0.245,-0.173,0.698,204.163,-319.153,143.005
0.403,0.332,1.733,196.533,-340.149,146.240
0.479,0.494,2.518,175.842,-337.769,148.010
0.635,0.570,2.751,77.148,-299.683,162.537
0.704,0.818,3.025,-43.518,-246.399,189.575
0.714,1.726,2.958,-134.644,-165.955,208.740
0.700,2.665,2.837,-214.233,-66.956,208.008
0.838,3.515,2.484,-247.375,20.142,173.218
1.190,3.979,2.121,-224.915,78.674,112.244
1.347,3.808,1.819,-157.715,103.760,31.311
1.336,3.302,1.607,-76.904,107.483,-53.162
1.197,2.655,1.415,-16.174,103.577,-128.174
1.101,1.933,1.138,26.184,96.558,-191.040
0.813,1.325,1.042,58.960,96.802,-240.417
0.565,0.834,0.999,74.524,102.356,-271.912
0.355,0.354,0.879,63.354,113.770,-283.447
0.193,-0.101,0.639,31.128,131.592,-283.447
0.148,-0.597,0.485,2.625,150.940,-275.208
0.058,-0.952,0.471,-30.396,170.593,-255.493
0.110,-1.220,0.300,-69.702,191.589,-229.797
0.209,-1.408,0.015,-114.380,208.984,-196.533
0.272,-1.531,-0.215,-169.434,212.646,-152.710
0.321,-1.433,-0.458,-219.360,204.651,-106.323
0.244,-0.909,-0.661,-237.427,189.697,-72.021
0.326,-0.892,-0.866,-231.323,167.236,-61.157
0.424,-1.051,-0.949,-193.176,145.752,-66.101
0.487,-1.093,-0.908,-162.659,123.413,-59.631
0.552,-1.120,-0.895,-127.258,106.995,-54.810
0.565,-1.142,-0.946,-95.337,94.055,-49.744
0.553,-1.181,-0.989,-63.049,77.698,-45.471
0.581,-1.173,-0.882,-36.377,55.237,-41.565
0.643,-1.218,-0.847,-10.132,34.363,-37.109
0.719,-1.199,-0.707,6.042,15.747,-30.334
0.717,-1.154,-0.609,8.911,-0.488,-16.846
0.722,-1.049,-0.597,3.662,-10.254,-1.648
0.711,-0.940,-0.593,-1.343,-18.799,13.062
0.715,-0.818,-0.557,-6.042,-26.794,26.428
0.734,-0.690,-0.521,-9.644,-32.654,36.804
0.755,-0.563,-0.474,-8.423,-38.025,43.579
0.804,-0.443,-0.419,-2.075,-44.556,46.936
0.863,-0.293,-0.311,8.972,-52.246,46.997
0.896,-0.169,-0.175,25.024,-59.509,42.419
0.946,-0.153,-0.091,42.053,-62.256,33.508
0.995,-0.176,-0.066,48.584,-62.866,26.306
0.995,-0.101,-0.041,48.828,-63.782,23.437
1.036,-0.188,0.036,51.025,-63.110,19.287
1.047,-0.118,0.093,49.194,-60.120,17.456
1.036,-0.087,0.066,42.480,-55.786,16.602
1.037,-0.058,0.090,40.344,-52.368,14.526
