aX,aY,aZ,gX,gY,gZ
1.721,0.745,0.462,54.077,-18.494,-14.954
1.914,0.978,0.473,46.265,-22.522,-9.216
2.028,1.491,0.499,19.287,-30.884,-0.183
2.088,2.078,0.503,-25.269,-34.668,1.160
2.212,2.680,0.440,-63.843,-29.541,-13.000
2.250,3.195,0.367,-99.915,-23.010,-39.490
2.143,3.554,0.286,-131.897,-21.729,-76.538
2.051,3.717,0.251,-149.170,-25.146,-124.207
1.812,3.676,0.239,-162.598,-30.334,-177.368
1.467,3.395,0.276,-151.672,-32.898,-235.352
0.995,2.732,0.376,-138.367,-39.551,-290.527
0.327,1.742,0.687,-136.658,-53.833,-333.313
-0.410,0.693,1.057,-152.771,-69.275,-360.046
-1.101,-0.151,1.352,-179.687,-71.533,-377.197
-1.531,-0.458,1.373,-220.398,-54.199,-385.010
-1.977,-0.189,1.386,-304.443,-36.377,-387.817
-2.881,-0.212,1.472,-419.128,-45.654,-392.639
-4.000,-0.728,2.078,-473.694,-78.796,-398.682
-4.000,-2.599,2.713,-289.734,-111.145,-418.640
-4.000,-3.369,2.324,-29.663,-133.362,-431.702
-3.556,-3.999,1.730,160.278,-154.602,-400.757
-1.702,-4.000,2.876,329.163,-134.155,-341.003
-1.476,-4.000,3.068,398.315,-49.561,-206.482
-1.698,-4.000,1.997,221.558,76.477,-25.452
-1.752,-4.000,1.175,73.303,116.943,136.108
-1.834,-2.876,0.981,35.767,114.502,239.624
-1.669,-2.464,0.734,16.968,103.760,275.757
-1.652,-2.511,0.684,-18.311,70.557,281.860
-2.046,-1.884,0.792,-50.110,15.991,302.002
-2.174,-1.017,0.847,-53.711,-4.150,325.378
-2.026,-0.556,0.917,-32.043,1.404,329.590
-1.939,-0.534,0.843,-10.864,16.235,320.496
-1.837,-0.467,0.580,-19.958,34.790,322.205
-1.359,-0.454,0.619,31.738,36.255,326.050
-0.608,-0.051,0.583,136.658,30.701,323.181
0.128,0.950,0.318,112.244,39.978,317.871
0.039,0.889,0.353,-22.949,78.552,287.231
0.116,-0.359,-0.014,25.879,78.979,238.403
0.498,-1.038,-0.216,79.285,42.725,226.746
0.383,-0.613,-0.181,64.697,6.592,248.047
0.302,0.162,-0.066,56.030,-26.428,257.629
0.446,0.746,0.090,6.042,-45.715,248.840
0.597,0.864,0.246,-7.874,-60.669,227.112
0.734,0.876,0.541,31.555,-81.482,202.637
0.819,1.303,0.824,5.615,-86.792,192.688
0.977,1.800,1.082,28.198,-72.510,178.711
1.138,1.997,1.144,91.858,-48.767,155.884
1.219,1.790,1.154,142.639,-21.057,133.118
1.220,1.417,1.086,167.480,8.545,115.295
1.168,1.384,0.996,178.833,28.015,108.154
1.137,1.568,0.906,188.110,43.030,99.854
1.153,1.776,0.816,164.185,58.960,89.233
1.136,1.943,0.811,134.216,68.054,75.989
1.129,1.951,0.852,140.137,68.115,55.237
1.093,1.814,0.942,153.381,68.359,34.485
1.108,1.601,1.012,165.344,74.219,20.264
1.259,1.293,0.939,177.917,88.074,10.498
1.325,0.699,0.660,171.692,108.276,-6.653
0.992,0.210,0.406,160.278,108.826,-44.434
0.783,-0.300,0.103,136.475,87.646,-78.064
0.762,-0.587,0.367,-43.823,44.617,-54.565
1.037,-0.188,0.495,-87.585,6.287,-30.518
1.099,0.391,0.529,-96.008,10.315,-15.869
0.980,0.300,0.502,-121.704,28.259,-18.433
0.953,-0.196,0.425,-79.163,19.226,-29.480
0.940,-0.384,0.379,-36.255,6.165,-27.527
0.914,-0.301,0.321,-13.672,3.357,-21.057
0.932,-0.537,0.311,-4.395,4.333,-20.935
0.922,-0.415,0.473,-13.306,-5.066,-5.432
0.869,-0.521,0.452,-15.198,-1.099,-2.380
0.859,-0.490,0.523,-6.165,10.681,0.549
0.938,-0.284,0.438,-45.593,8.301,13.977
0.898,-0.274,0.535,-13.428,-9.216,11.841
0.783,-0.371,0.576,0.427,-17.639,7.202
0.810,-0.364,0.638,-3.357,-15.930,10.986
0.836,-0.222,0.584,-4.517,-7.568,15.137
0.847,-0.149,0.541,7.263,-2.075,14.465
0.805,-0.232,0.519,22.156,-2.625,10.986
0.790,-0.303,0.546,32.166,-6.287,10.925
0.790,-0.265,0.559,35.767,-6.958,13.550
0.792,-0.223,0.574,35.156,-4.883,15.747
0.788,-0.243,0.580,30.518,-2.869,16.663
0.790,-0.223,0.584,25.452,-3.113,18.677
0.790,-0.142,0.570,20.569,-3.296,20.386
0.786,-0.083,0.540,14.587,-1.892,19.409
0.776,-0.091,0.512,9.583,-0.854,15.686
0.766,-0.122,0.503,3.540,-1.587,10.803
0.760,-0.097,0.513,-3.235,-3.235,6.836
0.757,-0.051,0.540,-7.751,-5.127,3.540
0.755,-0.068,0.571,-7.935,-6.165,-0.549
0.757,-0.138,0.588,-4.272,-4.761,-3.723
0.776,-0.218,0.594,-2.930,-1.099,-4.578
0.792,-0.252,0.574,-7.629,3.235,-2.808
0.803,-0.194,0.526,-16.846,7.812,0.061
0.796,-0.102,0.463,-24.414,9.949,1.526
0.782,-0.079,0.406,-27.588,7.935,0.000
0.763,-0.126,0.380,-28.442,3.235,-2.075
0.757,-0.179,0.393,-28.381,-1.953,-2.930
0.766,-0.206,0.448,-26.794,-6.653,-2.563
0.773,-0.211,0.520,-23.865,-8.423,-2.258
0.787,-0.205,0.587,-17.700,-7.385,-2.380
0.779,-0.220,0.633,-9.094,-3.967,-2.808
0.774,-0.251,0.636,0.916,0.793,-3.052
0.786,-0.272,0.596,7.996,6.348,-2.991
0.802,-0.296,0.536,12.573,10.132,-2.686
0.812,-0.324,0.485,13.977,10.498,-1.709
0.817,-0.320,0.464,12.085,7.690,0.366
0.808,-0.280,0.480,8.728,3.296,2.502
0.818,-0.231,0.509,5.676,0.488,3.784
0.802,-0.158,0.543,3.235,-0.427,4.211
0.826,-0.123,0.540,0.549,1.526,3.723
0.786,-0.114,0.521,2.808,3.906,2.136
0.798,-0.170,0.492,7.629,4.639,-0.549
0.784,-0.164,0.490,7.874,5.615,0.916
0.778,-0.143,0.481,8.362,7.202,2.930
0.856,-0.167,0.459,11.047,8.484,2.197
0.787,-0.234,0.477,13.184,5.615,-1.465
0.842,-0.246,0.481,16.235,-2.869,-3.235
0.713,-0.174,0.592,13.794,-7.324,-3.418
,,,,,
1.697,1.356,0.505,-5.859,-35.034,-3.418
1.976,1.975,0.469,1.709,-41.931,-4.517
2.172,2.651,0.399,10.742,-46.448,-10.193
2.259,3.271,0.366,10.864,-52.490,-23.926
2.512,3.372,0.437,12.390,-62.744,-56.152
2.641,3.216,0.677,-23.132,-75.134,-81.787
2.694,3.286,1.108,-128.479,-84.106,-91.492
2.704,3.865,1.332,-237.671,-76.782,-121.094
2.717,4.000,1.393,-297.913,-56.702,-171.753
2.093,4.000,1.042,-408.020,-52.307,-239.075
1.148,4.000,0.585,-334.290,-35.095,-337.891
0.022,3.976,0.142,-281.433,-45.410,-436.340
-1.293,2.461,-0.062,-196.350,-79.102,-517.273
-2.404,0.327,0.099,-104.004,-116.638,-560.364
-3.639,-1.074,0.830,-20.996,-177.612,-549.255
-4.000,-1.918,1.484,-69.641,-225.769,-503.601
-4.000,-0.507,2.204,-385.437,-195.068,-423.157
-4.000,0.386,2.187,-525.391,-119.873,-404.663
-4.000,-2.470,3.833,-341.370,-139.465,-509.949
-4.000,-4.000,4.000,-91.980,-242.920,-560.242
-3.532,-4.000,4.000,100.891,-267.395,-410.522
-0.693,-4.000,3.951,216.980,-131.592,-159.180
-1.817,-4.000,2.769,215.698,78.430,68.176
-3.098,-3.137,1.104,68.359,220.764,239.502
-2.975,-2.047,0.562,94.971,229.858,325.684
-2.473,-2.337,0.146,97.046,199.097,366.882
-2.571,-3.099,0.490,112.671,125.427,361.328
-2.834,-1.446,0.839,32.227,55.176,392.212
-2.744,0.343,1.021,-91.125,51.758,408.569
-2.537,0.516,0.826,-16.968,76.416,365.234
-2.300,-0.396,0.663,80.627,95.032,323.242
-1.791,-0.102,0.232,177.185,96.680,320.740
-0.933,0.819,-0.009,131.348,92.346,340.698
-0.647,0.894,0.008,6.348,90.637,331.848
-0.610,0.317,0.203,3.418,70.068,299.500
-0.324,0.234,0.505,26.489,31.067,280.823
0.059,0.515,0.979,11.353,9.033,267.151
0.442,0.800,1.181,13.977,13.184,250.000
0.661,0.614,1.145,24.109,38.757,231.140
0.725,0.396,0.883,60.364,65.674,215.759
0.766,0.435,0.493,98.206,77.087,209.045
